rank_week,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25
1,Washington University (Mo.),Emory University,University of Chicago,Tufts University,Messiah University,Pomona-Pitzer Colleges,Washington & Lee University,Massachusetts Institute of Technology,Middlebury College,Williams College,Case Western Reserve University,University of Mary Washington,Swarthmore College,California Lutheran University,Johns Hopkins University,Carleton College,Calvin University,Rowan University,University of Rochester,Misericordia University,Carnegie Mellon University,Amherst College,Penn State University-Harrisburg,Colby College,Christopher Newport University
2,Washington University (Mo.),William Smith College,Christopher Newport University,Emory University,Johns Hopkins University,Amherst College,Misericordia University,Messiah University,Loras College,Trinity University (Texas),University of Chicago,Massachusetts Institute of Technology,University of Scranton,,Colby College,Carnegie Mellon University,New York University,Tufts University,Pomona-Pitzer Colleges,The College of New Jersey,Wesleyan University,Illinois Institute of Technology,Pacific Lutheran University,University of Rochester,Calvin University
3,Washington University (Mo.),Messiah University,Christopher Newport University,Amherst College,Emory University,Massachusetts Institute of Technology,Misericordia University,Case Western Reserve University,William Smith College,Pomona-Pitzer Colleges,University of Chicago,Wesleyan University,Middlebury College,Swarthmore College,Washington & Lee University,Carleton College,Rowan University,Carnegie Mellon University,Brandeis University,Claremont-McKenna-Harvey Mudd-Scripps Colleges,Tufts University,Johns Hopkins University,Vassar College,Illinois Institute of Technology,University of Wisconsin-La Crosse
4,Messiah University,Emory University,Christopher Newport University,Misericordia University,Case Western Reserve University,University of Chicago,Washington University (Mo.),Tufts University,Pomona-Pitzer Colleges,Middlebury College,William Smith College,Brandeis University,Massachusetts Institute of Technology,Wesleyan University,Washington & Lee University,Claremont-McKenna-Harvey Mudd-Scripps Colleges,,Williams College,Carnegie Mellon University,Rowan University,Swarthmore College,Amherst College,Vassar College,Johns Hopkins University,Loras College
5,Messiah University,Emory University,Christopher Newport University,Case Western Reserve University,Washington University (Mo.),Tufts University,Misericordia University,University of Chicago,Pomona-Pitzer Colleges,Middlebury College,Brandeis University,Massachusetts Institute of Technology,Williams College,University of Wisconsin-La Crosse,University of Rochester,Washington & Lee University,William Smith College,Rowan University,Swarthmore College,Carnegie Mellon University,Wesleyan University,California Lutheran University,Amherst College,Loras College,Johns Hopkins University
6,Messiah University,Emory University,Christopher Newport University,Case Western Reserve University,Washington University (Mo.),Tufts University,University of Chicago,Pomona-Pitzer Colleges,Middlebury College,Brandeis University,Misericordia University,Massachusetts Institute of Technology,University of Rochester,Williams College,Washington & Lee University,Carnegie Mellon University,Swarthmore College,Rowan University,Loras College,Wesleyan University,California Lutheran University,Johns Hopkins University,Amherst College,Rochester Institute of Technology,New York University
7,Messiah University,Emory University,Case Western Reserve University,Washington University (Mo.),Tufts University,University of Chicago,Pomona-Pitzer Colleges,Brandeis University,Williams College,Washington & Lee University,Massachusetts Institute of Technology,Middlebury College,Misericordia University,Christopher Newport University,Swarthmore College,Carnegie Mellon University,Rowan University,Loras College,Vassar College,Wesleyan University,California Lutheran University,University of Rochester,Johns Hopkins University,Carleton College,New York University
8,Emory University,Washington University (Mo.),Tufts University,Messiah University,University of Chicago,Case Western Reserve University,Pomona-Pitzer Colleges,Massachusetts Institute of Technology,Washington & Lee University,Middlebury College,Rowan University,Swarthmore College,Christopher Newport University,,Williams College,Misericordia University,Vassar College,Loras College,Carnegie Mellon University,Wesleyan University,University of Rochester,California Lutheran University,Carleton College,Johns Hopkins University,New York University
9,Emory University,Washington University (Mo.),University of Chicago,Tufts University,Messiah University,Case Western Reserve University,Pomona-Pitzer Colleges,Massachusetts Institute of Technology,Washington & Lee University,Middlebury College,Rowan University,Christopher Newport University,Swarthmore College,Williams College,Loras College,University of Rochester,Misericordia University,Carnegie Mellon University,Brandeis University,California Lutheran University,Johns Hopkins University,William Smith College,Carleton College,New York University,Vassar College
10,Washington University (Mo.),Emory University,Tufts University,Messiah University,Case Western Reserve University,Pomona-Pitzer Colleges,University of Chicago,Massachusetts Institute of Technology,Washington & Lee University,Middlebury College,Rowan University,Williams College,Swarthmore College,Christopher Newport University,University of Rochester,Misericordia University,California Lutheran University,Johns Hopkins University,,William Smith College,Brandeis University,New York University,Amherst College,Vassar College,Claremont-Mudd-Scripps College
11,Washington University (Mo.),Emory University,Tufts University,Messiah University,Pomona-Pitzer Colleges,Case Western Reserve University,University of Chicago,Massachusetts Institute of Technology,Washington & Lee University,Williams College,Rowan University,Middlebury College,Swarthmore College,Christopher Newport University,University of Rochester,Misericordia University,California Lutheran University,Carnegie Mellon University,Johns Hopkins University,Vassar College,New York University,William Smith College,Claremont-Mudd-Scripps College,St. Catherine University,
