game_id,home_team_id,away_team_id,home_score,away_score,location,game_date,game_time
6388902,43848,43957,8,14,,2025-04-23,16:00:00
6392374,44070,57025,9,15,,2025-04-08,00:00:00
6394858,42608,42473,1,9,,2025-03-30,00:00:00
6395361,42121,51023,16,0,,2025-04-18,00:00:00
6395990,42397,42303,7,1,,2025-04-04,00:00:00
6396129,41941,42018,1,2,,2025-03-12,00:00:00
6396942,42034,42608,5,8,,2025-04-06,00:00:00
6397846,42722,42036,0,2,"{'__typename': 'Location', 'venue': 'Knights Field', 'city': 'Louisville', 'stateUsps': 'KY'}",2025-02-23,00:00:00
6401405,42254,51058,2,3,,2025-02-07,00:00:00
6401416,42467,56765,1,9,,2025-02-07,00:00:00
6404700,42584,42725,3,10,,2025-04-14,00:00:00
6404836,42517,1388962,2,7,,2025-04-13,00:00:00
6405260,42237,42122,0,5,,2025-04-25,00:00:00
6405985,42249,42316,3,12,,2025-03-07,00:00:00
6406659,42147,42802,3,2,,2025-03-26,00:00:00
6406679,56916,42312,0,11,,2025-03-26,00:00:00
6407342,42141,51703,0,2,,2025-04-12,00:00:00
6407405,42571,42499,5,0,,2025-04-14,00:00:00
6407670,42583,42720,2,4,,2025-04-19,00:00:00
6411543,42360,51032,3,8,,2025-04-12,00:00:00
6411547,42745,42392,8,0,,2025-04-12,00:00:00
6411934,42745,41903,5,2,,2025-04-17,00:00:00
6412022,42373,41861,2,5,,2025-04-18,00:00:00
6414474,42248,41867,7,4,"{'__typename': 'Location', 'venue': 'Cole Field', 'city': 'Williamstown', 'stateUsps': 'MA'}",2025-04-22,00:00:00
6414576,42415,41851,3,10,,2025-04-11,00:00:00
6414998,42286,42623,7,17,,2025-04-17,00:00:00
6415067,42135,42059,2,6,,2025-04-18,00:00:00
6415773,42756,41926,5,13,,2025-05-03,00:00:00
6415775,42280,42350,6,0,,2025-05-03,00:00:00
6416533,43492,43508,6,2,,2025-02-28,00:00:00
6416788,42804,43134,3,7,,2025-03-04,00:00:00
6417321,42891,43492,7,4,"{'__typename': 'Location', 'venue': 'Lindsey Nelson Stadium', 'city': 'Knoxville', 'stateUsps': 'TN'}",2025-03-16,00:00:00
6418163,42929,43598,10,5,,2025-04-05,00:00:00
6418352,43265,43392,4,3,,2025-04-08,00:00:00
6419252,43649,43281,10,9,,2025-04-30,00:00:00
6419321,43351,43243,7,3,,2025-05-02,00:00:00
6419511,43323,43104,8,1,"{'__typename': 'Location', 'venue': 'PK Park', 'city': 'Eugene', 'stateUsps': 'OR'}",2025-05-07,00:00:00
6420877,42891,43113,6,17,"{'__typename': 'Location', 'venue': 'Lindsey Nelson Stadium', 'city': 'Knoxville', 'stateUsps': 'TN'}",2025-04-05,00:00:00
6421340,43373,43568,12,8,,2025-05-10,00:00:00
6421535,43018,43471,14,19,,2025-04-13,00:00:00
6422481,42826,42940,5,6,,2025-03-07,00:00:00
6422936,43089,43013,4,19,,2025-05-10,00:00:00
6423033,42805,42913,6,4,,2025-04-25,00:00:00
6423213,43259,43186,5,15,,2025-02-18,00:00:00
6423273,42862,42822,7,11,,2025-02-23,00:00:00
6424550,43360,43531,20,12,,2025-02-14,00:00:00
6425082,43647,43267,2,3,,2025-02-23,00:00:00
6425810,42868,43006,10,5,,2025-03-09,00:00:00
6426255,43587,43711,24,25,,2025-03-18,00:00:00
6426341,51462,42915,3,14,,2025-03-21,00:00:00
6426392,51742,42868,13,3,,2025-03-21,00:00:00
6429548,43334,43160,0,5,,2025-03-28,00:00:00
6465395,1388428,55588,9,0,,2025-09-18,20:00:00
6466770,55836,1371716,3,0,,2025-09-21,19:00:00
6466943,55154,55438,6,0,"{'__typename': 'Location', 'venue': 'Burnham Field', 'city': 'Hanover', 'stateUsps': 'NH'}",2025-09-30,18:00:00
6467243,55632,55806,4,1,"{'__typename': 'Location', 'venue': 'Wildcat Stadium', 'city': 'Durham', 'stateUsps': 'NH'}",2025-09-21,14:00:00
6467812,1389234,1388647,0,3,,2025-10-25,00:00:00
6468000,1388647,55185,4,1,,2025-09-17,18:00:00
6468166,55697,1371458,0,6,,2025-09-12,13:00:00
6468340,55356,1371458,1,1,,2025-09-17,20:00:00
6468986,55547,1389252,0,2,,2025-10-20,00:00:00
6470051,55205,51536,1,1,,2025-09-06,19:00:00
6470340,55106,55991,0,1,,2025-10-14,19:00:00
6470422,55106,52107,1,1,,2025-10-16,19:00:00
6470451,1371465,55547,3,0,,2025-09-17,19:00:00
6470460,55547,1371465,0,1,,2025-10-29,19:00:00
6470495,56053,1388089,2,2,,2025-09-27,17:30:00
6470746,1387951,55526,0,3,,2025-09-27,15:00:00
6470772,51247,55106,3,1,"{'__typename': 'Location', 'venue': 'Ramirez Field', 'city': 'Fresno', 'stateUsps': 'CA'}",2025-10-29,18:00:00
6471366,55941,51794,0,0,,2025-09-03,19:00:00
6471367,55320,55941,7,1,,2025-09-06,13:00:00
6471368,55941,55958,0,1,,2025-09-10,19:00:00
6471369,56065,55941,0,2,,2025-09-13,13:00:00
6471370,55941,55428,3,1,,2025-09-20,14:00:00
6471371,55941,56015,3,2,,2025-09-27,13:00:00
6471372,55825,55941,2,0,,2025-09-29,19:00:00
6471373,55693,55941,6,0,"{'__typename': 'Location', 'venue': 'Soccer/Lacrosse Complex', 'city': 'Erie', 'stateUsps': 'PA'}",2025-10-04,13:00:00
6471374,55941,55921,0,0,,2025-10-08,19:00:00
6471375,55941,51134,0,3,,2025-10-11,13:00:00
6471376,1388646,55941,0,6,"{'__typename': 'Location', 'venue': 'Highmark Stadium', 'city': 'Pittsburgh ', 'stateUsps': 'PA'}",2025-10-14,15:00:00
6471378,55941,55548,0,0,,2025-10-22,19:00:00
6471379,55577,55941,1,2,,2025-10-25,13:00:00
6471380,56059,55941,4,0,,2025-10-28,15:00:00
6471381,55114,55515,0,0,"{'__typename': 'Location', 'venue': 'Art Keller Field', 'city': 'Kenosha', 'stateUsps': 'WI'}",2025-09-06,13:00:00
6471382,55515,55283,0,0,"{'__typename': 'Location', 'venue': 'Art Keller Field', 'city': 'Kenosha', 'stateUsps': 'WI'}",2025-09-07,16:00:00
6471383,55515,55311,1,4,,2025-09-10,15:00:00
6471385,55258,55515,0,3,,2025-09-17,20:00:00
6471386,55515,56031,2,0,,2025-09-20,13:30:00
6471387,55515,55414,1,0,,2025-09-24,17:00:00
6471388,55515,55470,2,9,,2025-09-27,12:00:00
6471389,55297,55515,4,1,,2025-09-29,17:30:00
6471390,55581,55515,1,0,"{'__typename': 'Location', 'venue': 'West Campus Field', 'city': 'River Forest', 'stateUsps': 'IL'}",2025-10-01,17:00:00
6471391,55515,55523,0,3,,2025-10-04,13:30:00
6471392,55515,55143,3,0,,2025-10-08,17:00:00
6471393,55902,55515,1,0,,2025-10-11,17:00:00
6471394,55736,55515,0,4,,2025-10-15,14:00:00
6471395,55515,55764,3,2,,2025-10-18,13:00:00
6471396,55515,51826,0,5,,2025-10-22,16:30:00
6471397,55549,55515,1,2,,2025-10-25,14:00:00
6471398,55515,55558,6,1,,2025-10-29,16:30:00
6471399,51536,55336,1,3,,2025-09-03,17:00:00
6471400,55480,55429,1,0,,2025-09-01,12:00:00
6471401,55319,55480,1,1,,2025-09-03,20:00:00
6471402,55480,55558,1,1,,2025-09-06,19:00:00
6471403,55113,55480,3,2,,2025-09-08,20:00:00
6471404,55480,55114,1,0,,2025-09-10,20:00:00
6471405,55138,55480,0,4,"{'__typename': 'Location', 'venue': 'Clark Field', 'city': 'Cedar Rapids', 'stateUsps': 'IA'}",2025-09-13,16:00:00
6471406,55235,55480,1,0,,2025-09-14,14:00:00
6471407,55299,55480,1,1,,2025-09-17,20:00:00
6471408,55480,55147,5,1,,2025-09-20,15:00:00
6471409,55480,55258,4,0,,2025-09-22,18:00:00
6471410,55456,55480,0,0,"{'__typename': 'Location', 'venue': 'Joe Bean Stadium', 'city': 'Wheaton', 'stateUsps': 'IL'}",2025-09-24,20:00:00
6471411,55311,55480,3,0,,2025-10-01,18:00:00
6471412,55480,55476,1,2,,2025-10-04,17:00:00
6471413,55475,55480,2,0,,2025-10-08,20:00:00
6471414,55480,55477,2,2,,2025-10-11,15:00:00
6471415,55468,55480,1,2,"{'__typename': 'Location', 'venue': 'Simpson Field', 'city': 'Eau Claire', 'stateUsps': 'WI'}",2025-10-18,15:00:00
6471416,55480,55473,2,1,,2025-10-22,20:00:00
6471417,55480,55478,3,1,,2025-10-25,18:00:00
6471419,55470,55480,3,0,,2025-11-01,18:00:00
6471421,55194,55291,0,1,,2025-09-03,18:00:00
6471422,55291,55460,1,2,"{'__typename': 'Location', 'venue': 'McCarthy Stadium', 'city': 'Wilkes-Barre', 'stateUsps': 'PA'}",2025-09-06,15:30:00
6471423,55461,55291,0,0,,2025-09-10,19:00:00
6471424,55638,55291,5,0,,2025-09-13,11:00:00
6471425,55320,55291,4,3,,2025-09-17,19:00:00
6471426,55291,56065,3,0,"{'__typename': 'Location', 'venue': 'McCarthy Stadium', 'city': 'Wilkes-Barre', 'stateUsps': 'PA'}",2025-09-20,17:00:00
6471427,55291,55263,3,2,"{'__typename': 'Location', 'venue': 'McCarthy Stadium', 'city': 'Wilkes-Barre', 'stateUsps': 'PA'}",2025-09-24,19:00:00
6471428,55908,55291,2,1,,2025-09-27,13:00:00
6471429,55291,55819,0,1,"{'__typename': 'Location', 'venue': 'McCarthy Stadium', 'city': 'Wilkes-Barre', 'stateUsps': 'PA'}",2025-10-04,16:00:00
6471430,55742,55291,0,1,,2025-10-08,19:00:00
6471431,55202,55291,0,0,"{'__typename': 'Location', 'venue': 'Robert T. Shields Field', 'city': 'Madison', 'stateUsps': 'NJ'}",2025-10-11,12:00:00
6471432,55164,55291,1,5,"{'__typename': 'Location', 'venue': 'Robert A. Lipinski Field at James Work Memorial Stadium', 'city': 'Doylestown', 'stateUsps': 'PA'}",2025-10-18,16:00:00
6471433,55291,55897,0,4,"{'__typename': 'Location', 'venue': 'McCarthy Stadium', 'city': 'Wilkes-Barre', 'stateUsps': 'PA'}",2025-10-21,19:00:00
6471434,55291,55394,0,2,"{'__typename': 'Location', 'venue': 'McCarthy Stadium', 'city': 'Wilkes-Barre', 'stateUsps': 'PA'}",2025-10-25,16:00:00
6471435,55301,55291,4,0,,2025-10-29,16:00:00
6471436,55291,55499,0,4,"{'__typename': 'Location', 'venue': 'McCarthy Stadium', 'city': 'Wilkes-Barre', 'stateUsps': 'PA'}",2025-11-01,17:00:00
6471437,56005,55591,1,3,,2025-09-06,20:00:00
6471438,55897,55591,1,0,,2025-09-14,12:00:00
