game_id,home_team_id,away_team_id,home_score,away_score,location,game_date,game_time
6471365,55941,55595,0,4,,2025-08-30,15:00:00
6471366,55941,51794,0,0,,2025-09-03,16:00:00
6471367,55320,55941,7,1,,2025-09-06,10:00:00
6471368,55941,55958,0,1,,2025-09-10,16:00:00
6471369,56065,55941,0,2,,2025-09-13,10:00:00
6471370,55941,55428,3,1,,2025-09-20,11:00:00
6471371,55941,56015,3,2,,2025-09-27,10:00:00
6471372,55825,55941,2,0,,2025-09-29,16:00:00
6471381,55114,55515,0,0,"{'__typename': 'Location', 'venue': 'Art Keller Field', 'city': 'Kenosha', 'stateUsps': 'WI'}",2025-09-06,10:00:00
6471382,55515,55283,0,0,"{'__typename': 'Location', 'venue': 'Art Keller Field', 'city': 'Kenosha', 'stateUsps': 'WI'}",2025-09-07,13:00:00
6471383,55515,55311,1,4,,2025-09-10,12:00:00
6471384,55515,55477,5,3,,2025-09-13,13:00:00
6471385,55258,55515,0,3,,2025-09-17,17:00:00
6471386,55515,56031,2,0,,2025-09-20,10:30:00
6471387,55515,55414,1,0,,2025-09-24,14:00:00
6471388,55515,55470,2,9,,2025-09-27,09:00:00
6471389,55297,55515,4,1,,2025-09-29,14:30:00
6471399,51536,55336,1,3,,2025-09-03,14:00:00
6471400,55480,55429,1,0,,2025-09-01,09:00:00
6471401,55319,55480,1,1,,2025-09-03,17:00:00
6471402,55480,55558,1,1,,2025-09-06,16:00:00
6471403,55113,55480,3,2,,2025-09-08,17:00:00
6471404,55480,55114,1,0,,2025-09-10,17:00:00
6471405,55138,55480,0,4,"{'__typename': 'Location', 'venue': 'Clark Field', 'city': 'Cedar Rapids', 'stateUsps': 'IA'}",2025-09-13,13:00:00
6471406,55235,55480,1,0,,2025-09-14,11:00:00
6471407,55299,55480,1,1,,2025-09-17,17:00:00
6471408,55480,55147,5,1,,2025-09-20,12:00:00
6471409,55480,55258,4,0,,2025-09-22,15:00:00
6471410,55456,55480,0,0,"{'__typename': 'Location', 'venue': 'Joe Bean Stadium', 'city': 'Wheaton', 'stateUsps': 'IL'}",2025-09-24,17:00:00
6471420,55820,55291,3,0,,2025-08-30,13:00:00
6471421,55194,55291,0,1,,2025-09-03,15:00:00
6471422,55291,55460,1,2,"{'__typename': 'Location', 'venue': 'McCarthy Stadium', 'city': 'Wilkes-Barre', 'stateUsps': 'PA'}",2025-09-06,12:30:00
6471423,55461,55291,0,0,,2025-09-10,16:00:00
6471424,55638,55291,5,0,,2025-09-13,08:00:00
6471425,55320,55291,4,3,,2025-09-17,16:00:00
6471426,55291,56065,3,0,"{'__typename': 'Location', 'venue': 'McCarthy Stadium', 'city': 'Wilkes-Barre', 'stateUsps': 'PA'}",2025-09-20,14:00:00
6471427,55291,55263,3,2,"{'__typename': 'Location', 'venue': 'McCarthy Stadium', 'city': 'Wilkes-Barre', 'stateUsps': 'PA'}",2025-09-24,16:00:00
6471428,55908,55291,2,1,,2025-09-27,10:00:00
6471437,56005,55591,1,3,,2025-09-06,17:00:00
6471438,55897,55591,1,0,,2025-09-14,09:00:00
6471440,55240,55591,1,0,"{'__typename': 'Location', 'venue': 'HSU Soccer Complex', 'city': 'Abilene', 'stateUsps': 'TX'}",2025-09-20,15:00:00
6471441,55847,55591,3,1,"{'__typename': 'Location', 'venue': ' Paul McGinlay Field', 'city': 'San Antonio', 'stateUsps': 'TX'}",2025-09-23,17:00:00
6471442,55496,55591,1,3,,2025-09-26,15:00:00
6471443,56018,55591,0,5,,2025-09-28,10:00:00
6471454,55703,55364,0,7,,2025-09-02,12:00:00
6471455,55238,55364,0,1,,2025-09-06,08:00:00
6471456,55364,55116,5,0,,2025-09-07,12:00:00
6471457,55846,55364,0,0,,2025-09-13,08:00:00
6471458,55864,55364,0,1,,2025-09-14,11:00:00
6471459,55364,55855,2,1,,2025-09-17,13:30:00
6471460,55364,55398,0,0,,2025-09-20,11:00:00
6471461,55146,55364,0,1,,2025-09-27,08:00:00
6471462,55364,55887,2,1,,2025-09-28,11:00:00
6471470,56064,55640,8,1,,2025-09-06,09:00:00
6471471,55489,55640,0,6,,2025-09-17,16:30:00
6471472,55640,55614,1,10,,2025-09-20,12:00:00
6471473,55583,55640,9,0,,2025-09-24,15:00:00
6471474,55640,1388415,0,3,,2025-09-27,12:00:00
6471475,55640,55935,3,0,,2025-09-30,16:00:00
6471477,55538,55602,6,0,,2025-08-31,10:00:00
6471479,55914,55538,2,1,,2025-09-06,09:00:00
6471481,55538,55688,3,1,,2025-09-10,14:00:00
6471482,55538,55110,0,2,,2025-09-14,11:00:00
6471483,55162,55538,2,2,"{'__typename': 'Location', 'venue': 'Reavis Stadium ', 'city': 'Greencastle', 'stateUsps': 'IN'}",2025-09-16,16:00:00
6471484,55677,55538,1,1,"{'__typename': 'Location', 'venue': 'Jay Martin Soccer Complex', 'city': 'Delaware', 'stateUsps': 'OH'}",2025-09-19,16:00:00
6471485,55538,55651,1,3,,2025-09-21,10:00:00
6471486,55538,55997,3,0,,2025-09-27,10:00:00
6471498,55392,56049,2,0,,2025-08-30,10:00:00
6471499,55962,55638,3,0,"{'__typename': 'Location', 'venue': 'Cozzens Field', 'city': 'Geneva', 'stateUsps': 'NY'}",2025-08-31,09:00:00
6471500,55966,55392,0,1,,2025-09-02,13:00:00
6471501,56015,55392,1,4,,2025-09-06,10:00:00
6471503,55392,51134,3,0,,2025-09-10,16:30:00
6471504,55845,55638,1,0,,2025-09-07,10:30:00
6471505,55546,55392,0,0,,2025-09-13,10:00:00
6471506,55328,55609,0,4,,2025-09-14,13:00:00
6471507,55148,55392,1,0,,2025-09-17,13:00:00
6471508,55926,55638,0,1,,2025-09-17,16:30:00
6471509,55638,55724,2,1,,2025-09-20,09:00:00
6471511,55148,55638,0,0,,2025-09-27,11:00:00
