play_id,game_id,player_id,time_of_play,event_type,description
1,6532710,,00:00:00,KICKOFF,Kickoff  by Team
2,6532710,364912496,01:18:01,SAVE,Save  by Dahlia Bedward
3,6532710,,03:07:00,CORNER,Corner(taken)  by Team
4,6532710,364912496,03:31:03,SAVE,Save  by Dahlia Bedward
5,6532710,364912496,06:09:00,SAVE,Save  by Dahlia Bedward
6,6532710,364912496,09:27:02,SAVE,Save  by Dahlia Bedward
7,6532710,364912496,11:29:02,SAVE,Save  by Dahlia Bedward
8,6532710,,12:03:00,SHOT,Shot (blocked;) by Irene Sanchez Burgueño
9,6532710,2533229867,13:31:03,FOUL_WON,Foulwon  by Megha Salvi
10,6532710,,13:41:04,FREE_KICK,Freekick(taken)  by Team
11,6532710,,14:15:01,CORNER,Corner(taken)  by Team
12,6532710,364912496,15:32:03,SAVE,Save  by Dahlia Bedward
13,6532710,111178346,16:24:02,FOUL_WON,Foulwon  by Ella Kruntchev
14,6532710,,17:12:01,FREE_KICK,Freekick(taken)  by Team
15,6532710,2398102491,20:29:02,SHOT,Shot (goalmouth:outleft;) by Maria Romo-Nichols
16,6532710,1467601870,21:15:01,FOUL_WON,Foulwon  by Bela Odhiambo
17,6532710,,21:34:03,FREE_KICK,Freekick(taken)  by Team
18,6532710,74163087,22:20:02,GOAL,Goal (goalmouth:lowright;from:rightfoot;) by Caroline Marcus
19,6532710,4227160956,23:03:00,FOUL_WON,Foulwon  by Tatum Adamson
20,6532710,,23:41:04,FREE_KICK,Freekick(taken)  by Team
21,6532710,1606541875,23:48:04,FOUL_WON,Foulwon  by Ella Macko
22,6532710,3253812716,23:50:05,YELLOW_CARD,Cardyellow(unsporting)  by Ava Gizzie
23,6532710,,23:50:05,FREE_KICK,Freekick(taken)  by Team
24,6532710,364912496,23:52:05,SAVE,Save  by Dahlia Bedward
25,6532710,1123383156,24:34:03,SUBSTITUTION,Sub in Lauren Lior
26,6532710,74163087,27:29:02,FOUL_WON,Foulwon  by Caroline Marcus
27,6532710,,28:08:00,FREE_KICK,Freekick(taken)  by Team
28,6532710,74163087,28:13:01,SHOT,Shot (goalmouth:outright;) by Caroline Marcus
29,6532710,1496151391,28:39:03,SUBSTITUTION,Sub in Natalie Smith
30,6532710,2040289362,28:39:03,SUBSTITUTION,Sub in Lena Olbrys
31,6532710,3792295919,30:54:05,SUBSTITUTION,Sub in Eleanor Shanholtzer
32,6532710,290642202,30:54:05,SUBSTITUTION,Sub in Isabella Specchierla
33,6532710,3659752659,30:54:05,SUBSTITUTION,Sub in Kate Anderson
34,6532710,3014171601,30:54:05,SUBSTITUTION,Sub in Charlotte Sims
35,6532710,3324248310,33:06:00,FOUL_WON,Foulwon  by Carolyn Johnson
36,6532710,,33:35:03,FREE_KICK,Freekick(taken)  by Team
37,6532710,2040289362,34:13:01,FOUL_WON,Foulwon  by Lena Olbrys
38,6532710,,34:48:04,FREE_KICK,Freekick(taken)  by Team
39,6532710,2583709108,34:57:05,SHOT,Shot (goalmouth:outleft;) by Kei Kitamura
40,6532710,3014171601,35:38:03,FOUL_WON,Foulwon  by Charlotte Sims
41,6532710,,35:53:05,FREE_KICK,Freekick(taken)  by Team
42,6532710,4187194560,38:17:01,SUBSTITUTION,Sub in Stella Saad
43,6532710,363249158,38:17:01,SUBSTITUTION,Sub in Lauren Fang
44,6532710,2674105545,41:32:03,SUBSTITUTION,Sub in Gwen Rauvola
45,6532710,364912496,41:54:05,SAVE,Save  by Dahlia Bedward
46,6532710,363249158,42:22:02,SHOT,Shot (goalmouth:outright;) by Lauren Fang
47,6532710,363249158,43:31:03,SHOT,Shot (goalmouth:outhighright;) by Lauren Fang
48,6532710,1855514748,45:00:00,SUBSTITUTION,Sub in Lila Travers
49,6532710,3253812716,45:00:00,SUBSTITUTION,Sub in Ava Gizzie
50,6532710,3578346695,45:00:00,SUBSTITUTION,Sub in Charlotte Carleton
51,6532710,4285171770,45:00:00,SUBSTITUTION,Sub in Celia Kanellakos
52,6532710,3004374379,45:00:00,SUBSTITUTION,Sub in Sydney Ross
53,6532710,640662247,45:00:00,SUBSTITUTION,Sub in Lillian Jarmosevich
54,6532710,2662524003,45:00:00,SUBSTITUTION,Sub in Jordan Vrees
55,6532710,74163087,45:00:00,SUBSTITUTION,Sub in Caroline Marcus
56,6532710,,45:00:00,SUBSTITUTION,Sub in Irene Sanchez Burgueño
57,6532710,2398102491,45:00:00,SUBSTITUTION,Sub in Maria Romo-Nichols
58,6532710,3324248310,45:00:00,SUBSTITUTION,Sub in Carolyn Johnson
59,6532710,,45:00:00,KICKOFF,Kickoff  by Team
60,6532710,2533229867,46:39:03,SHOT,Shot (blocked;) by Megha Salvi
61,6532710,3004374379,48:53:05,SHOT,Shot (blocked;) by Sydney Ross
62,6532710,2662524003,48:56:05,GOAL,Goal (goalmouth:highcenter;from:rightfoot;) by Jordan Vrees
63,6532710,174266596,49:35:03,FOUL_WON,Foulwon  by Annie Isphording
64,6532710,,50:08:00,FREE_KICK,Freekick(taken)  by Team
65,6532710,3324248310,51:33:03,FOUL_WON,Foulwon  by Carolyn Johnson
66,6532710,,51:52:05,FREE_KICK,Freekick(taken)  by Team
67,6532710,1855514748,52:34:03,SAVE,Save  by Lila Travers
68,6532710,,52:38:03,SAVE,Save  by Team
69,6532710,1855514748,52:43:04,SAVE,Save  by Lila Travers
70,6532710,2533229867,57:13:01,FOUL_WON,Foulwon  by Megha Salvi
71,6532710,,58:00:00,FREE_KICK,Freekick(taken)  by Team
72,6532710,4285171770,59:37:03,FOUL_WON,Foulwon  by Celia Kanellakos
73,6532710,,60:06:00,FREE_KICK,Freekick(taken)  by Team
74,6532710,640662247,60:29:02,FOUL_WON,Foulwon  by Lillian Jarmosevich
75,6532710,,60:57:05,FREE_KICK,Freekick(taken)  by Team
76,6532710,,61:15:01,SHOT,Shot (blocked;) by Irene Sanchez Burgueño
77,6532710,3251067455,62:31:03,SUBSTITUTION,Sub in Macie Mangini
78,6532710,363249158,66:02:00,SUBSTITUTION,Sub in Lauren Fang
79,6532710,1496151391,66:02:00,SUBSTITUTION,Sub in Natalie Smith
80,6532710,2040289362,66:02:00,SUBSTITUTION,Sub in Lena Olbrys
81,6532710,4108763933,68:45:04,SUBSTITUTION,Sub in Nicole Jensen
82,6532710,3792295919,68:45:04,SUBSTITUTION,Sub in Eleanor Shanholtzer
83,6532710,2674105545,69:40:04,SUBSTITUTION,Sub in Gwen Rauvola
84,6532710,,71:28:02,CORNER,Corner(taken)  by Team
85,6532710,3659752659,73:57:05,SUBSTITUTION,Sub in Kate Anderson
86,6532710,2662524003,73:57:05,SUBSTITUTION,Sub in Jordan Vrees
87,6532710,,73:57:05,SUBSTITUTION,Sub in Irene Sanchez Burgueño
88,6532710,2398102491,73:57:05,SUBSTITUTION,Sub in Maria Romo-Nichols
89,6532710,2533229867,73:57:05,SUBSTITUTION,Sub in Megha Salvi
90,6532710,2398102491,74:44:04,FOUL_WON,Foulwon  by Maria Romo-Nichols
91,6532710,,75:24:02,FREE_KICK,Freekick(taken)  by Team
92,6532710,74163087,76:44:04,SUBSTITUTION,Sub in Caroline Marcus
93,6532710,4227160956,76:57:05,FOUL_WON,Foulwon  by Tatum Adamson
94,6532710,3578346695,76:58:05,YELLOW_CARD,Cardyellow(unsporting)  by Charlotte Carleton
95,6532710,,76:58:05,FREE_KICK,Freekick(taken)  by Team
96,6532710,3324248310,77:08:00,SUBSTITUTION,Sub in Carolyn Johnson
97,6532710,2533229867,77:53:05,SHOT,Shot (goalmouth:outhigh;) by Megha Salvi
98,6532710,4187194560,77:57:05,SUBSTITUTION,Sub in Stella Saad
99,6532710,2398102491,79:01:00,SHOT,Shot (goalmouth:outright;) by Maria Romo-Nichols
100,6532710,53698661,79:58:05,SUBSTITUTION,Sub in Liesel Blau
101,6532710,2533229867,81:33:03,SHOT,Shot (goalmouth:outhigh;) by Megha Salvi
102,6532710,4187194560,82:59:05,FOUL_WON,Foulwon  by Stella Saad
103,6532710,,83:27:02,FREE_KICK,Freekick(taken)  by Team
104,6532710,1855514748,84:31:03,SAVE,Save  by Lila Travers
105,6532710,1855514748,85:50:05,SAVE,Save  by Lila Travers
106,6532710,2398102491,87:58:05,GOAL,Goal (goalmouth:highleft;from:leftfoot;noassist;) by Maria Romo-Nichols
107,6532710,4285171770,87:58:05,SUBSTITUTION,Sub in Celia Kanellakos
108,6532710,,87:58:05,SUBSTITUTION,Sub in Lily Gaston
