game_id,home_team_id,away_team_id,home_score,away_score,location,game_date,game_time
6471373,55693,55941,6,0,"{'__typename': 'Location', 'venue': 'Soccer/Lacrosse Complex', 'city': 'Erie', 'stateUsps': 'PA'}",2025-10-04,11:00:00
6471374,55941,55921,0,0,,2025-10-08,17:00:00
6471375,55941,51134,0,3,,2025-10-11,11:00:00
6471376,1388646,55941,0,6,"{'__typename': 'Location', 'venue': 'Highmark Stadium', 'city': 'Pittsburgh ', 'stateUsps': 'PA'}",2025-10-14,13:00:00
6471378,55941,55548,0,0,,2025-10-22,17:00:00
6471379,55577,55941,1,2,,2025-10-25,11:00:00
6471380,56059,55941,4,0,,2025-10-28,13:00:00
6471390,55581,55515,1,0,"{'__typename': 'Location', 'venue': 'West Campus Field', 'city': 'River Forest', 'stateUsps': 'IL'}",2025-10-01,15:00:00
6471391,55515,55523,0,3,,2025-10-04,11:30:00
6471392,55515,55143,3,0,,2025-10-08,15:00:00
6471393,55902,55515,1,0,,2025-10-11,15:00:00
6471394,55736,55515,0,4,,2025-10-15,12:00:00
6471395,55515,55764,3,2,,2025-10-18,11:00:00
6471396,55515,51826,0,5,,2025-10-22,14:30:00
6471397,55549,55515,1,2,,2025-10-25,12:00:00
6471398,55515,55558,6,1,,2025-10-29,14:30:00
6471411,55311,55480,3,0,,2025-10-01,16:00:00
6471412,55480,55476,1,2,,2025-10-04,15:00:00
6471413,55475,55480,2,0,,2025-10-08,18:00:00
6471414,55480,55477,2,2,,2025-10-11,13:00:00
6471415,55468,55480,1,2,"{'__typename': 'Location', 'venue': 'Simpson Field', 'city': 'Eau Claire', 'stateUsps': 'WI'}",2025-10-18,13:00:00
6471416,55480,55473,2,1,,2025-10-22,18:00:00
6471417,55480,55478,3,1,,2025-10-25,16:00:00
6471419,55470,55480,3,0,,2025-11-01,16:00:00
6471429,55291,55819,0,1,"{'__typename': 'Location', 'venue': 'McCarthy Stadium', 'city': 'Wilkes-Barre', 'stateUsps': 'PA'}",2025-10-04,14:00:00
6471430,55742,55291,0,1,,2025-10-08,17:00:00
6471431,55202,55291,0,0,"{'__typename': 'Location', 'venue': 'Robert T. Shields Field', 'city': 'Madison', 'stateUsps': 'NJ'}",2025-10-11,10:00:00
6471432,55164,55291,1,5,"{'__typename': 'Location', 'venue': 'Robert A. Lipinski Field at James Work Memorial Stadium', 'city': 'Doylestown', 'stateUsps': 'PA'}",2025-10-18,14:00:00
6471433,55291,55897,0,4,"{'__typename': 'Location', 'venue': 'McCarthy Stadium', 'city': 'Wilkes-Barre', 'stateUsps': 'PA'}",2025-10-21,17:00:00
6471434,55291,55394,0,2,"{'__typename': 'Location', 'venue': 'McCarthy Stadium', 'city': 'Wilkes-Barre', 'stateUsps': 'PA'}",2025-10-25,14:00:00
6471435,55301,55291,4,0,,2025-10-29,14:00:00
6471436,55291,55499,0,4,"{'__typename': 'Location', 'venue': 'McCarthy Stadium', 'city': 'Wilkes-Barre', 'stateUsps': 'PA'}",2025-11-01,15:00:00
6471444,55591,55911,6,1,,2025-10-03,16:00:00
6471445,55591,55540,3,0,,2025-10-05,11:00:00
6471446,55516,55591,0,5,,2025-10-12,11:00:00
6471447,56028,55591,0,1,,2025-10-14,18:00:00
6471448,55591,56019,1,1,,2025-10-17,16:00:00
6471449,55591,55588,3,0,,2025-10-19,11:00:00
6471450,55560,56019,0,0,,2025-10-23,18:00:00
6471451,55591,55118,5,0,,2025-10-24,16:00:00
6471452,1371716,55591,0,1,,2025-10-26,11:00:00
6471453,55919,55591,0,1,,2025-10-31,16:00:00
6471463,55364,55436,1,2,,2025-10-04,09:00:00
6471464,55161,55364,0,1,,2025-10-11,09:00:00
6471465,55806,55364,1,2,,2025-10-12,10:30:00
6471466,55364,55849,0,0,,2025-10-18,09:00:00
6471467,55364,55422,1,0,,2025-10-25,09:00:00
6471468,55465,55364,1,0,"{'__typename': 'Location', 'venue': 'Cole Field', 'city': 'Williamstown', 'stateUsps': 'MA'}",2025-10-28,13:00:00
6471476,55681,55640,3,0,,2025-10-04,12:30:00
6471478,55640,51317,1,0,,2025-10-07,15:00:00
6471480,51510,55640,8,1,,2025-10-11,13:00:00
6471487,55328,55640,2,0,,2025-10-18,10:00:00
6471488,55538,55739,0,2,,2025-10-04,11:00:00
6471489,55605,55640,9,0,,2025-10-22,16:00:00
6471490,55538,56020,1,2,,2025-10-08,15:00:00
6471491,55640,51562,3,0,,2025-10-25,12:00:00
6471492,55502,55538,0,4,,2025-10-11,11:00:00
6471493,55640,55926,0,9,,2025-10-29,17:00:00
6471494,55538,55556,8,0,,2025-10-18,11:00:00
6471495,55931,55538,0,0,,2025-10-22,17:00:00
6471496,55177,55538,1,1,,2025-10-25,11:00:00
6471497,55495,55538,0,1,,2025-10-28,13:30:00
6471513,55638,55707,2,0,,2025-10-01,14:00:00
6471514,55217,55638,3,2,"{'__typename': 'Location', 'venue': 'University Stadium', 'city': 'Fredonia', 'stateUsps': 'NY'}",2025-10-04,11:00:00
6471516,55392,55752,0,1,,2025-10-01,17:00:00
6471517,55638,55960,4,0,,2025-10-08,14:00:00
6471518,55392,55194,0,0,,2025-10-04,17:00:00
6471519,55687,55638,0,0,,2025-10-11,11:00:00
6471520,55392,55735,0,1,,2025-10-07,16:00:00
6471521,55860,55392,4,0,,2025-10-11,11:00:00
6471522,55702,55638,0,0,,2025-10-15,14:00:00
6471523,55392,55443,1,2,,2025-10-15,17:00:00
6471524,55638,55449,1,1,,2025-10-18,11:00:00
6471525,55222,55392,2,0,"{'__typename': 'Location', 'venue': 'College Stadium', 'city': 'Geneseo', 'stateUsps': 'NY'}",2025-10-18,11:00:00
6471526,55638,55683,1,1,,2025-10-22,13:00:00
6471527,55392,55242,1,2,,2025-10-25,17:00:00
6471528,55392,56043,11,0,,2025-10-29,17:00:00
6471529,51572,55638,0,7,,2025-10-25,11:00:00
6471540,55390,55202,0,1,"{'__typename': 'Location', 'venue': 'Shirk Stadium', 'city': 'Reading', 'stateUsps': 'PA'}",2025-10-01,14:00:00
6471541,55202,55897,0,5,"{'__typename': 'Location', 'venue': 'Robert T. Shields Field', 'city': 'Madison', 'stateUsps': 'NJ'}",2025-10-04,13:00:00
6471542,55741,55202,1,1,,2025-10-08,17:00:00
6471543,55301,55202,4,1,,2025-10-18,10:00:00
6471544,55202,55819,0,1,"{'__typename': 'Location', 'venue': 'Robert T. Shields Field', 'city': 'Madison', 'stateUsps': 'NJ'}",2025-10-21,17:00:00
