game_id,home_team_id,away_team_id,home_score,away_score,location,game_date,game_time
6465395,TARLET,SCHREI,9,0,,2025-09-18,17:00:00
6466129,N KY,MT STJ,6,0,,2025-08-24,16:00:00
6466770,TX SOU,ST THOM,3,0,,2025-09-21,16:00:00
6466915,ASBURY,BELLAR,0,11,,2025-08-23,16:00:00
6466943,DART,BRAND,6,0,"{'__typename': 'Location', 'venue': 'Burnham Field', 'city': 'Hanover', 'stateUsps': 'NH'}",2025-09-30,15:00:00
6467063,LYON,ARK PB,0,2,,2025-08-22,17:00:00
6467243,UNH,S ME,4,1,"{'__typename': 'Location', 'venue': 'Wildcat Stadium', 'city': 'Durham', 'stateUsps': 'NH'}",2025-09-21,11:00:00
6467267,NAVY,MARYWD,3,0,,2025-08-26,13:00:00
6467515,TX LUT,SULROS,5,0,,2025-08-30,09:00:00
6468000,VA ST,EMENNO,4,1,,2025-09-17,15:00:00
6468166,PFEIFF,SHAW,0,6,,2025-09-12,10:00:00
6468340,METHOD,SHAW,1,1,,2025-09-17,17:00:00
6469063,EMORY,CLMBST,3,2,"{'__typename': 'Location', 'venue': 'Woodruff PE Center', 'city': 'Atlanta', 'stateUsps': 'GA'}",2025-08-29,17:00:00
6469868,CENTRE,KY WES,4,2,"{'__typename': 'Location', 'venue': 'Amend Field', 'city': 'Danville', 'stateUsps': 'KY'}",2025-08-31,10:00:00
6470051,FERRUM,SO VA,1,1,,2025-09-06,16:00:00
6470451,ALBYST,LAGRAN,3,0,,2025-09-17,16:00:00
6470495,AG SCT,ALLEN,2,2,,2025-09-27,14:30:00
6470697,LAVERN,CSUSB,0,2,,2025-08-29,10:00:00
6470746,WARREN,ERSKIN,0,3,,2025-09-27,12:00:00
6471365,MT ALO,WAYNES,0,4,,2025-08-30,15:00:00
6471366,MT ALO,PENCLG,0,0,,2025-09-03,16:00:00
6471367,LYCOM,MT ALO,7,1,,2025-09-06,10:00:00
6471368,MT ALO,ST VIN,0,1,,2025-09-10,16:00:00
6471369,WILSON,MT ALO,0,2,,2025-09-13,10:00:00
6471370,MT ALO,BETHWV,3,1,,2025-09-20,11:00:00
6471371,MT ALO,HILBRT,3,2,,2025-09-27,10:00:00
6471372,SWARTH,MT ALO,2,0,,2025-09-29,16:00:00
6471381,CARTH,CONCWI,0,0,"{'__typename': 'Location', 'venue': 'Art Keller Field', 'city': 'Kenosha', 'stateUsps': 'WI'}",2025-09-06,10:00:00
6471382,CONCWI,KALAMA,0,0,"{'__typename': 'Location', 'venue': 'Art Keller Field', 'city': 'Kenosha', 'stateUsps': 'WI'}",2025-09-07,13:00:00
6471383,CONCWI,LORAS,1,4,,2025-09-10,12:00:00
6471384,CONCWI,UW SP,5,3,,2025-09-13,13:00:00
6471385,BENILL,CONCWI,0,3,,2025-09-17,17:00:00
6471386,CONCWI,WI LUT,2,0,,2025-09-20,10:30:00
6471387,CONCWI,AURORA,1,0,,2025-09-24,14:00:00
6471388,CONCWI,UW LAC,2,9,,2025-09-27,09:00:00
6471389,LK FOR,CONCWI,4,1,,2025-09-29,14:30:00
6471399,SO VA,MARYWA,1,3,,2025-09-03,14:00:00
6471400,UW WW,BETHEL,1,0,,2025-09-01,09:00:00
6471401,LUTHER,UW WW,1,1,,2025-09-03,17:00:00
6471402,UW WW,MARIAN,1,1,,2025-09-06,16:00:00
6471403,CARROL,UW WW,3,2,,2025-09-08,17:00:00
6471404,UW WW,CARTH,1,0,,2025-09-10,17:00:00
6471405,COE,UW WW,0,4,"{'__typename': 'Location', 'venue': 'Clark Field', 'city': 'Cedar Rapids', 'stateUsps': 'IA'}",2025-09-13,13:00:00
6471406,GRINN,UW WW,1,0,,2025-09-14,11:00:00
6471407,LAWREN,UW WW,1,1,,2025-09-17,17:00:00
6471408,UW WW,CORCOL,5,1,,2025-09-20,12:00:00
6471409,UW WW,BENILL,4,0,,2025-09-22,15:00:00
6471410,WHEATI,UW WW,0,0,"{'__typename': 'Location', 'venue': 'Joe Bean Stadium', 'city': 'Wheaton', 'stateUsps': 'IL'}",2025-09-24,17:00:00
6471420,RICHST,KINGPA,3,0,,2025-08-30,13:00:00
6471421,ELMIRA,KINGPA,0,1,,2025-09-03,15:00:00
6471422,KINGPA,WIDEN,1,2,"{'__typename': 'Location', 'venue': 'McCarthy Stadium', 'city': 'Wilkes-Barre', 'stateUsps': 'PA'}",2025-09-06,12:30:00
6471423,WILKES,KINGPA,0,0,,2025-09-10,16:00:00
6471424,SUNYNP,KINGPA,5,0,,2025-09-13,08:00:00
6471425,LYCOM,KINGPA,4,3,,2025-09-17,16:00:00
6471426,KINGPA,WILSON,3,0,"{'__typename': 'Location', 'venue': 'McCarthy Stadium', 'city': 'Wilkes-Barre', 'stateUsps': 'PA'}",2025-09-20,14:00:00
6471427,KINGPA,IMMAC,3,2,"{'__typename': 'Location', 'venue': 'McCarthy Stadium', 'city': 'Wilkes-Barre', 'stateUsps': 'PA'}",2025-09-24,16:00:00
6471428,STEVE,KINGPA,2,1,,2025-09-27,10:00:00
6471437,HOWPAY,TX LUT,1,3,,2025-09-06,17:00:00
6471438,MISERI,TX LUT,1,0,,2025-09-14,09:00:00
6471440,HARSIM,TX LUT,1,0,"{'__typename': 'Location', 'venue': 'HSU Soccer Complex', 'city': 'Abilene', 'stateUsps': 'TX'}",2025-09-20,15:00:00
6471441,TRINTX,TX LUT,3,1,"{'__typename': 'Location', 'venue': ' Paul McGinlay Field', 'city': 'San Antonio', 'stateUsps': 'TX'}",2025-09-23,17:00:00
6471442,AUSTIN,TX LUT,1,3,,2025-09-26,15:00:00
6471443,LETOUR,TX LUT,0,5,,2025-09-28,10:00:00
6471454,PLYMOU,MIDDLE,0,7,,2025-09-02,12:00:00
6471455,HAMLTN,MIDDLE,0,1,,2025-09-06,08:00:00
6471456,MIDDLE,CASTLE,5,0,,2025-09-07,12:00:00
6471457,TRINCT,MIDDLE,0,0,,2025-09-13,08:00:00
6471458,VASSAR,MIDDLE,0,1,,2025-09-14,11:00:00
6471459,MIDDLE,UNION,2,1,,2025-09-17,13:30:00
6471460,MIDDLE,AMHRST,0,0,,2025-09-20,11:00:00
6471461,CT COL,MIDDLE,0,1,,2025-09-27,08:00:00
6471462,MIDDLE,WES CT,2,1,,2025-09-28,11:00:00
6471470,CENTNJ,SUNYMA,8,1,,2025-09-06,09:00:00
6471471,YESHIV,SUNYMA,0,6,,2025-09-17,16:30:00
6471472,SUNYMA,MT STV,1,10,,2025-09-20,12:00:00
6471473,STJOLI,SUNYMA,9,0,,2025-09-24,15:00:00
6471474,SUNYMA,MERMAR,0,3,,2025-09-27,12:00:00
6471475,SUNYMA,PURCH,3,0,,2025-09-30,16:00:00
6471477,HNOVER,WILMOH,6,0,,2025-08-31,10:00:00
6471479,SPALD,HNOVER,2,1,,2025-09-06,09:00:00
6471481,HNOVER,OTTER,3,1,,2025-09-10,14:00:00
6471482,HNOVER,CAPTAL,0,2,,2025-09-14,11:00:00
6471483,DEPAUW,HNOVER,2,2,"{'__typename': 'Location', 'venue': 'Reavis Stadium ', 'city': 'Greencastle', 'stateUsps': 'IN'}",2025-09-16,16:00:00
6471484,OH WES,HNOVER,1,1,"{'__typename': 'Location', 'venue': 'Jay Martin Soccer Complex', 'city': 'Delaware', 'stateUsps': 'OH'}",2025-09-19,16:00:00
6471485,HNOVER,NC ILL,1,3,,2025-09-21,10:00:00
6471486,HNOVER,FRANK,3,0,,2025-09-27,10:00:00
6471498,ALFRED,CHATHA,2,0,,2025-08-30,10:00:00
6471499,WM SMI,SUNYNP,3,0,"{'__typename': 'Location', 'venue': 'Cozzens Field', 'city': 'Geneva', 'stateUsps': 'NY'}",2025-08-31,09:00:00
6471500,GENEVA,ALFRED,0,1,,2025-09-02,13:00:00
6471501,HILBRT,ALFRED,1,4,,2025-09-06,10:00:00
6471503,ALFRED,ALFRST,3,0,,2025-09-10,16:30:00
6471504,TCNJ,SUNYNP,1,0,,2025-09-07,10:30:00
6471505,KEUKA,ALFRED,0,0,,2025-09-13,10:00:00
6471506,MANHTV,MONTCL,0,4,,2025-09-14,13:00:00
6471507,CORT,ALFRED,1,0,,2025-09-17,13:00:00
